Gene,Description,Log2FC,HGPS_mean,Control_mean,Welch_raw,Welch_log2,MannWhitney,OLS_batch,Subgroup,Welch_raw_q,Welch_log2_q,MannWhitney_q,OLS_batch_q,Subgroup_q,Robustness
LMNA,Lamin A/C — mutant form (progerin) causes HGPS,0.181,5.239,4.503,0.04183404206509293,0.038423239655155456,0.031209012771740218,0.03231527503842938,0.7788529851131323,0.04880638240927509,0.0448271129310147,0.03641051490036359,0.03770115421150095,0.7788529851131323,Supported (4/5)
PML,Promyelocytic leukemia — nuclear bodies marker (dataset focus),0.627,5.246,3.044,2.112303666994741e-06,2.686923011833988e-06,0.00043963875262656454,1.5831095894411306e-06,0.005165527232891998,1.1089594251722391e-05,1.4106345812128438e-05,0.0009232413805157855,8.311325344565937e-06,0.012052896876747996,Robust (5/5)
ZNF408,Zinc finger — senescence marker,0.276,5.552,4.413,0.002434823404103373,0.0033810184875688832,0.0036105143123296027,0.004514649446216857,0.02614750483307151,0.0031957057178856776,0.00443758676493416,0.004738800034932604,0.005925477398159625,0.04575813345787515,Robust (5/5)
CDKN2A,"p16INK4a — senescence marker, upregulated in HGPS",0.314,9.462,7.414,6.217241401595875e-05,0.00020597394838163532,0.00043963875262656454,0.00016714614905067714,0.009345540045315645,0.00013056206943351338,0.0004325452916014342,0.0009232413805157855,0.0003190971936422018,0.019625634095162856,Robust (5/5)
CDKN1A,p21CIP1 — senescence marker,0.312,8.562,6.703,3.546626268612018e-06,1.902068529568244e-06,0.00024612812790522973,5.613069027820757e-06,0.002164407410604843,1.2413191940142065e-05,1.3314479706977708e-05,0.0007383843837156892,2.357488991684718e-05,0.00909051112454034,Robust (5/5)
GLB1,Beta-galactosidase — senescence marker (SA-β-gal),0.269,9.708,7.885,0.0004074972442614458,0.0004506386961591138,0.0013149446697132139,0.0009428003116029187,0.029241106573018222,0.0007131201774575301,0.0007279548168724146,0.00212414138953673,0.0015229851187431765,0.04723563369487559,Robust (5/5)
LMNB1,Lamin B1 — downregulated in senescence,-0.588,3.543,5.828,4.613597150027869e-06,2.031334098697278e-05,0.00018267179110955002,1.6547657137140905e-05,0.004206627544502078,1.3840791450083608e-05,5.332252009080355e-05,0.0006393512688834251,4.343759998499488e-05,0.011042397304317955,Robust (5/5)
IL6,Interleukin-6 — SASP (senescence-associated secretory phenotype),0.409,10.131,7.382,3.4422175500264736e-07,4.875143831096356e-07,0.00018267179110955002,4.127666114243569e-08,0.0003462556821250354,3.6143284275277974e-06,5.1189010226511734e-06,0.0006393512688834251,4.127330340259557e-07,0.004091427218792739,Robust (5/5)
CXCL8,IL-8 — SASP inflammatory chemokine,0.23,9.76,8.175,0.0002971072680188523,0.0003661127380221997,0.0017062493689195964,0.00033685854844301663,0.000805949471508625,0.000567204784399627,0.0006406972915388496,0.0025593740533793948,0.0005895024597752792,0.004824648446909181,Robust (5/5)
MMP3,Matrix metalloproteinase 3 — SASP,0.479,10.893,7.531,3.621200559401692e-08,2.8228898110866622e-08,0.00018267179110955002,5.896186200370795e-08,0.0009189806565541295,7.604521174743553e-07,5.928068603281991e-07,0.0006393512688834251,4.127330340259557e-07,0.004824648446909181,Robust (5/5)
TP53,p53 — DNA damage / senescence pathway,0.179,4.83,4.151,0.12980214364318962,0.11699849658774017,0.12122450301291662,0.12697495492196206,0.5314392966214972,0.1362922508253491,0.12284842141712718,0.12728572816356246,0.13332370266806018,0.5873802752132338,NS
RB1,Retinoblastoma — senescence pathway,0.171,7.749,6.769,0.018721440004463286,0.018619682745569775,0.031209012771740218,0.030021744077621332,0.13821466000708987,0.023126484711395823,0.02300078456805678,0.03641051490036359,0.03708568386059106,0.1707357564793463,Supported (4/5)
SIRT1,Sirtuin 1 — longevity/aging pathway,-0.599,2.549,4.376,0.0005927676683189602,0.00025410972414687596,0.0013149446697132139,6.603302037405998e-05,0.06882094012624257,0.0009575477718998587,0.0004851185642803995,0.00212414138953673,0.00013866934278552597,0.09032748391569338,Supported (4/5)
FOXO3,FOXO3 — longevity pathway,-0.419,2.977,4.316,0.0008328525776776813,0.0005846389286183627,0.0013149446697132139,0.0015111275678211802,0.05326025198833262,0.001249278866516522,0.0008769583929275441,0.00212414138953673,0.0021155785949496524,0.07456435278366566,Supported (4/5)
TERF1,TRF1 — telomere maintenance,-0.08,7.828,8.333,0.1135827365773623,0.10267357122698607,0.08897301170181328,0.11396688828213433,0.6063470198573998,0.1255388141118215,0.11348131556666882,0.09833859188095152,0.12596340283814847,0.6366643708502698,NS
TERF2,TRF2 — telomere maintenance,0.025,6.112,5.989,0.6121105980082047,0.6193953668320695,0.6231762238821174,0.5442778186712038,0.41166602361322,0.6121105980082047,0.6193953668320695,0.6231762238821174,0.5442778186712038,0.48027702754875673,NS
TERT,Telomerase reverse transcriptase,-0.176,5.987,6.895,0.0016101362334334545,0.0013917569885811955,0.0036105143123296027,0.001345778103804727,0.033400624245131454,0.002254190726806836,0.0019484597840136737,0.004738800034932604,0.0020186671557070905,0.050100936367697184,Supported (4/5)
COL1A1,Collagen type I — extracellular matrix (progeria affects bone/skin),-1.222,0.708,2.983,5.331918340474718e-06,1.3459714215661831e-05,0.00032983852077799353,9.294005417563653e-06,0.00038965973512311797,1.3996285643746135e-05,4.042203999993531e-05,0.0008658261170422331,2.788201625269096e-05,0.004091427218792739,Robust (5/5)
COL3A1,Collagen type III — ECM,-0.566,3.791,6.092,3.4619077272561256e-05,5.851784520268782e-06,0.00018267179110955002,7.294639719679715e-06,0.010603819539647338,8.07778469693096e-05,2.4577494985128886e-05,0.0006393512688834251,2.5531239018879006e-05,0.02024365548478128,Robust (5/5)
ELN,Elastin — vascular aging in progeria,-0.659,3.607,6.272,3.357032959009248e-06,4.978148987515755e-05,0.00018267179110955002,2.1188249937654165e-05,0.003166295736815668,1.2413191940142065e-05,0.00011615680970870096,0.0006393512688834251,4.943924985452639e-05,0.011042397304317955,Robust (5/5)
MMP1,Matrix metalloproteinase 1 — tissue remodeling,0.562,7.515,4.768,1.117879216918406e-06,1.347401333331177e-05,0.00018267179110955002,5.7736679315969775e-08,0.004099930497773257,7.825154518428843e-06,4.042203999993531e-05,0.0006393512688834251,4.127330340259557e-07,0.011042397304317955,Robust (5/5)
