Geneid,Symbol,Description,EntrezID,Counts_FM_1(FM_1),Counts_FM_3(FM_3),Counts_FM_4(FM_4),Counts_FM_6(FM_6),TPM_FM_1(FM_1),TPM_FM_3(FM_3),TPM_FM_4(FM_4),TPM_FM_6(FM_6),log2FC_FM_3_FM_1,log2FC_FM_6_FM_4,padj_FM_3_FM_1,padj_FM_6_FM_4,pvalue_FM_3_FM_1,pvalue_FM_6_FM_4,log2FC_mean,padj_best
ENSG00000261026,,,,56,1455,31,86,2.96891937011765,77.6453367842833,1.07063836473643,3.13989580568433,4.67753805449653,1.4916860451624,1.43575746021872e-59,0.0032059945949118,1.04631792757522e-63,3.66813257106227e-05,3.084612049829465,1.43575746021872e-59
ENSG00000160932,LY6E,lymphocyte antigen 6 family member E,4061.0,480,6467,10415,8242,48.2043434175606,653.717037467427,681.357342414141,570.011941254651,3.7328056919021,-0.314200474342822,3.29720686003255e-53,0.626523876940681,4.80572345143937e-57,0.126610604194469,1.709302608779639,3.29720686003255e-53
ENSG00000134321,RSAD2,radical S-adenosyl methionine domain containing 2,91543.0,684,8520,18760,10011,38.375128665422,481.144301107525,685.641834959969,386.792116226858,3.61970512484612,-0.882673809520031,2.01387720576018e-51,0.0018949258246084,4.40287976773104e-55,1.93331595572933e-05,1.3685156576630444,2.01387720576018e-51
ENSG00000179388,EGR3,early growth response 3,1960.0,178,2332,252,374,9.36942194537859,123.555860547684,8.64100124317675,13.55722509007,3.69185083925196,0.592763237700996,7.46642709341405e-48,0.201528763852658,2.17648363020377e-51,0.0127329780047227,2.142307038476478,7.46642709341405e-48
ENSG00000111331,OAS3,2'-5'-oligoadenylate synthetase 3,4940.0,1314,12918,23317,12734,42.655173520218,422.098332528241,493.082684872369,284.673868125419,3.27838378110772,-0.849298512709512,8.88189997562664e-45,0.0032830644925188,3.23637224006218e-48,3.85201416189721e-05,1.2145426341991041,8.88189997562664e-45
ENSG00000111335,OAS2,2'-5'-oligoadenylate synthetase 2,4939.0,298,3143,9707,5352,12.6032990317643,133.799461679731,267.438383042183,155.880033549142,3.37937523170284,-0.835540933809243,3.15684209962179e-43,0.0043950517899278,1.38034197622291e-46,5.47699938841031e-05,1.2719171489467986,3.15684209962179e-43
ENSG00000134326,CMPK2,cytidine/uridine monophosphate kinase 2,129607.0,176,1978,5292,2336,10.8383204501067,122.607663241118,212.295059134142,99.0668986317527,3.47062978894911,-1.15633882038291,1.00782247157096e-42,9.67429400236205e-06,5.1412019392193e-46,3.5251034843179e-08,1.1571454842831,1.00782247157096e-42
ENSG00000118520,ARG1,arginase 1,383.0,1111,111,173,613,132.640601403004,13.3391271007274,13.454862320803,50.3998573421709,-3.34059362197612,1.84774808026377,1.93764780011869e-36,1.62968113316917e-11,1.12965911681603e-39,1.65344033420911e-14,-0.746422770856175,1.93764780011869e-36
ENSG00000188536,HBA2,hemoglobin subunit alpha 2,3040.0,732,5570,347,1128,234.490524004444,1796.0210389597,72.4126468884824,248.845461835342,2.90871015435959,1.7237859963219,5.12466565738411e-35,2.42538697685231e-11,3.36117117887021e-38,2.65127566337157e-14,2.316248075340745,5.12466565738411e-35
ENSG00000126709,IFI6,interferon alpha inducible protein 6,2537.0,729,5466,9364,5148,229.369233063632,1731.08849497749,1919.28633300198,1115.4563537465,2.88744273359387,-0.839705800356447,1.40774810782864e-34,0.0041043036651151,1.02590592320991e-37,5.05485584757663e-05,1.0238684666187114,1.40774810782864e-34
ENSG00000187608,ISG15,ISG15 ubiquitin like modifier,9636.0,862,5955,15497,7849,263.395222847997,1831.57371574802,3084.74303841156,1651.66272052178,2.76932491323398,-0.958005385426329,2.92406162668355e-32,0.0005088988675065,2.3440225836991e-35,3.70863480182613e-06,0.9056597639038255,2.92406162668355e-32
ENSG00000137959,IFI44L,interferon induced protein 44 like,10964.0,578,4056,7409,4301,14.9536636325548,105.623297997696,124.867695132082,76.6294345313191,2.79181160023812,-0.761197902243525,4.31269278827643e-32,0.014216465568331,3.77148472958149e-35,0.0002403600066938,1.0153068489972976,4.31269278827643e-32
ENSG00000170542,SERPINB9,serpin family B member 9,5272.0,217,1612,722,438,13.8760075086536,103.755669793314,30.0754906760763,19.2879162705377,2.87353253578434,-0.697519662808554,1.09639396445381e-30,0.0599230837995752,1.03870584010345e-33,0.001854386278332,1.088006436487893,1.09639396445381e-30
ENSG00000138670,RASGEF1B,RasGEF domain family member 1B,153020.0,13,280,6,13,0.338210692895394,7.33236408872937,0.101687123864023,0.232913007581103,4.39693585793321,1.12257736505384,3.45231773301823e-30,0.711683165821761,3.52225974801452e-33,0.186746676621008,2.759756611493525,3.45231773301823e-30
ENSG00000137965,IFI44,interferon induced protein 44,10561.0,527,3473,7364,4284,68.5056136858251,454.425127557549,623.591314173316,383.505341630325,2.70118041179302,-0.758122331330498,5.11272236881766e-30,0.0146876390525743,5.58889633670492e-33,0.0002547147423629,0.9715290402312611,5.11272236881766e-30
ENSG00000196878,LAMB3,laminin subunit beta 3,3914.0,11,259,5,8,0.627104241666116,14.8623959009826,0.185689689101812,0.314082290470063,4.52304188169988,0.687742382804204,9.25457651849735e-30,0.969579482810528,1.07909360367262e-32,0.593113130711805,2.6053921322520424,9.25457651849735e-30
